fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
0,0,0,0,0,0,0,True
1403,4368,5033,6649,2651,2816,3213,True
6072,11680,11680,15494,7866,7866,7866,True
0,0,0,0,0,0,0,True
2584,14135,20665,27769,9546,13134,15301,True
1920,7926,11708,17106,3963,5702,5702,True
6296,19605,26748,39719,12192,16359,16824,True
2537,7526,11553,19680,4537,7578,8397,True
1804,4080,7930,17740,2614,6170,9316,True
1738,3434,3434,4904,2160,2160,2356,True
1165,3814,6604,12869,2330,4378,6651,True
1163,3493,6707,13171,2296,5095,7121,True
1598,3631,5292,9582,2400,3826,5126,True
3923,7846,7846,11641,5288,5288,6525,True
2429,9168,13276,20011,5460,7513,6064,True
1109,4311,6813,10859,2668,4315,4865,True
1223,2446,2446,3669,1540,1540,1857,True
888,3062,4478,6912,1777,2550,2038,True
2900,9434,13442,20233,5361,7499,7891,True
4853,10840,12768,19396,7010,8938,9268,True
1894,3595,4317,7746,2279,3001,3996,True
702,3835,5423,7119,2248,2745,2951,True
1712,6713,9789,14452,4286,6286,6683,True
2883,10206,14165,19872,6212,8030,9620,True
1613,6382,9439,14206,4200,6046,4770,True
682,3077,3719,4208,1946,1946,1946,True
1947,3894,5072,9375,2445,3623,4725,True
282,3312,5479,7701,1948,2949,3471,True
2298,9426,14926,23490,6159,9928,11269,True
4932,12412,16473,26079,8081,10937,12321,True
708,3218,4714,6612,1609,2204,1609,True
1238,5234,8213,12647,3310,5269,4587,True
1237,2092,2092,3203,1237,1237,1493,True
5267,10073,10918,17495,6091,6936,8131,True
4368,12029,16008,24948,7636,10441,10235,True
2229,5575,6077,8133,3655,3780,4293,True
690,4711,7492,10599,3055,4655,5453,True
4144,11916,15571,22750,7789,10017,8651,True
4255,12712,18186,29201,8279,12214,12147,True
323,3915,6332,8177,2496,3731,4241,True
2952,6087,6087,9222,3968,3968,4984,True
1936,5122,6355,9472,3172,3929,3714,True
1775,3627,3627,5402,2323,2323,2794,True
0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,True
1380,2280,4532,11147,1380,3632,4843,True
3717,17010,21473,24889,11400,12686,13669,True
669,1686,1873,2557,1014,1057,1213,True
2345,8579,12393,18455,5689,8188,7560,True
